,file_id,Annotator_B_hair,Annotator_B_pen,Annotator_A_hair,Annotator_A_pen,Annotator_C_hair,Annotator_C_pen,Annotator_D_hair,Annotator_D_pen,Annotator_E_hair,Annotator_E_pen
0,PAT_32_44_211,0,0,0,0,0,0,0,0,0,0
1,PAT_35_48_43,1,0,1,0,1,0,0,0,1,0
2,PAT_50_76_728,0,0,0,0,0,0,1,0,0,0
3,PAT_74_112_729,1,1,1,1,1,1,1,0,1,1
4,PAT_90_139_57,0,1,0,1,0,1,1,0,0,1
5,PAT_141_209_438,1,0,1,0,1,0,0,0,1,0
6,PAT_151_227_63,0,0,0,0,0,0,2,0,0,0
7,PAT_153_1200_541,2,0,2,0,2,0,0,3,2,0
8,PAT_155_240_211,2,1,2,1,2,1,1,1,2,1
9,PAT_167_258_711,1,1,1,1,1,1,0,1,1,1
10,PAT_190_291_366,1,1,1,1,0,0,0,0,0,1
11,PAT_198_853_778,0,0,0,0,0,0,2,0,0,0
12,PAT_207_1280_15,3,0,0,1,3,0,0,1,3,0
13,PAT_211_318_942,1,1,0,1,0,1,1,0,0,1
14,PAT_237_362_909,1,0,1,0,1,0,0,0,1,0
15,PAT_242_368_261,0,0,0,0,0,0,2,0,0,0
16,PAT_246_377_159,2,0,2,0,2,0,1,0,2,0
17,PAT_263_403_966,1,0,1,0,0,0,0,1,1,0
18,PAT_263_404_410,1,1,2,1,1,1,0,0,2,1
19,PAT_271_418_92,0,0,0,0,0,0,0,0,0,0
20,PAT_291_446_704,0,0,0,0,0,0,0,0,0,0
21,PAT_306_658_825,1,0,1,0,1,0,0,0,1,0
22,PAT_324_1465_43,2,0,1,0,1,0,1,0,1,0
23,PAT_326_690_823,1,1,0,1,0,1,0,0,0,1
24,PAT_337_706_598,0,0,0,1,0,0,0,1,0,0
25,PAT_369_755_733,0,0,0,0,0,0,0,0,1,0
26,PAT_387_786_782,0,0,0,0,0,0,0,0,0,0
27,PAT_388_787_818,1,0,1,0,0,0,1,0,1,0
28,PAT_388_2452_548,2,1,3,1,1,1,1,2,2,1
29,PAT_430_847_315,2,0,2,0,1,0,1,0,1,0
30,PAT_433_852_20,1,0,0,0,0,0,0,0,0,0
31,PAT_451_878_634,2,0,1,0,0,0,0,0,1,0
32,PAT_485_928_796,0,0,0,0,0,0,0,0,0,0
33,PAT_510_959_174,1,0,0,0,0,0,0,0,1,0
34,PAT_537_1014_961,2,1,2,1,2,1,1,1,2,1
35,PAT_593_1127_823,0,0,0,0,0,0,0,0,0,0
36,PAT_626_1187_34,1,0,1,0,0,0,0,0,1,0
37,PAT_638_3680_891,2,0,2,0,1,0,1,0,2,0
38,PAT_655_1245_807,0,1,0,1,0,1,0,1,0,1
39,PAT_664_1263_781,0,0,0,0,0,0,0,0,0,0
40,PAT_680_1289_585,1,0,1,0,0,0,0,0,1,0
41,PAT_684_1303_368,2,0,2,0,2,0,2,0,2,0
42,PAT_701_1321_156,3,0,3,0,3,0,3,0,3,0
43,PAT_703_1329_112,1,1,1,1,0,1,1,2,1,1
44,PAT_709_1331_253,1,0,2,0,1,0,1,0,2,0
45,PAT_718_1358_919,0,0,1,0,0,0,0,0,0,0
46,PAT_727_1373_776,1,0,1,0,0,0,1,0,1,0
47,PAT_734_1390_631,0,0,0,0,0,0,0,0,0,0
48,PAT_741_1400_780,2,0,2,0,1,0,1,0,2,0
49,PAT_746_1407_708,0,0,0,0,0,0,0,0,0,0
50,PAT_747_1408_742,2,0,3,0,3,0,3,0,3,0
51,PAT_747_1409_116,3,0,3,0,3,0,3,0,3,0
52,PAT_798_1772_469,0,1,0,1,0,1,0,3,0,1
53,PAT_815_1535_536,3,0,3,0,3,0,2,0,3,0
54,PAT_826_1615_908,0,0,0,0,0,0,0,0,0,0
55,PAT_834_1572_430,1,1,1,1,1,1,1,0,1,0
56,PAT_838_1585_282,0,0,0,0,0,0,0,0,0,0
57,PAT_856_1626_630,1,0,2,0,1,0,2,0,2,0
58,PAT_872_1707_638,3,0,3,0,3,0,1,0,3,0
59,PAT_874_1671_176,0,0,0,1,0,0,0,0,0,0
60,PAT_900_1711_622,0,0,0,0,0,0,0,0,0,0
61,PAT_913_1730_815,0,0,0,0,0,0,0,0,0,0
62,PAT_947_1798_946,1,0,1,0,0,0,1,0,1,0
63,PAT_948_1800_310,1,0,1,0,1,0,0,0,1,0
64,PAT_955_1810_892,2,0,2,0,2,0,1,0,2,0
65,PAT_988_1858_453,1,0,0,0,0,0,0,0,1,0
66,PAT_994_1866_913,0,0,0,0,0,0,0,0,0,0
67,PAT_1006_53_385,0,0,0,0,0,0,0,0,0,0
68,PAT_1017_97_577,1,0,1,0,0,0,0,0,1,0
69,PAT_1022_114_756,0,0,0,0,0,0,0,0,0,0
70,PAT_1125_492_523,2,1,2,1,1,1,1,1,2,1
71,PAT_1132_508_325,0,0,0,0,0,0,0,0,0,0
72,PAT_1210_738_915,0,0,0,0,0,0,0,0,0,0
73,PAT_1261_896_349,0,0,0,0,0,0,0,0,0,0
74,PAT_1278_966_295,1,1,1,1,0,1,0,1,1,1
75,PAT_1280_972_605,3,1,3,1,3,1,2,2,3,1
76,PAT_1298_1051_831,3,0,3,0,2,0,3,0,3,1
77,PAT_1301_1063_739,0,0,0,0,0,0,0,0,0,0
78,PAT_1305_4097_251,3,0,2,0,3,0,1,0,3,0
79,PAT_1310_1097_774,0,0,0,0,0,0,0,0,0,0
80,PAT_1313_1105_284,1,1,1,1,0,1,0,3,1,1
81,PAT_1317_1130_656,1,1,1,1,0,1,0,3,1,1
82,PAT_1332_1174_839,3,0,3,0,3,0,1,0,3,0
83,PAT_1344_1222_456,0,0,0,0,0,0,0,0,0,0
84,PAT_1414_1431_754,0,1,0,1,0,1,0,2,0,1
85,PAT_1415_1440_629,0,1,0,1,0,1,0,2,0,1
86,PAT_1452_1564_509,0,0,0,0,0,0,0,0,0,0
87,PAT_1468_1622_219,2,1,2,1,2,1,2,3,3,1
88,PAT_1472_1639_87,2,1,2,1,1,1,2,1,2,1
89,PAT_1491_1703_637,1,1,2,1,1,1,1,1,2,1
90,PAT_1527_1794_662,1,0,1,0,1,0,1,0,1,0
91,PAT_1555_2396_71,1,0,1,0,0,0,1,0,1,0
92,PAT_1572_2494_224,1,0,1,0,0,0,1,0,2,0
93,PAT_1582_2574_34,1,0,1,0,0,0,0,0,0,0
94,PAT_1587_2625_226,0,0,0,0,0,0,0,0,0,0
95,PAT_1596_2664_323,0,0,0,0,0,0,0,0,0,0
96,PAT_1641_2886_284,1,0,1,0,0,0,0,1,1,0
97,PAT_1710_3160_488,0,1,0,1,0,1,0,3,0,1
98,PAT_1726_3228_674,3,1,3,1,3,1,3,0,3,1
99,PAT_1754_3308_390,0,0,1,0,0,0,0,0,0,0
100,PAT_1754_3308_783,0,0,0,0,0,0,0,2,0,0
101,PAT_1760_3326_525,2,1,1,1,1,1,1,0,2,1
102,PAT_1777_3370_697,2,0,1,0,1,0,2,0,2,0
103,PAT_1784_3416_507,3,0,2,0,1,0,2,0,3,0
104,PAT_1790_3427_355,2,0,1,0,1,0,1,0,2,0
105,PAT_1810_3484_347,1,0,1,0,0,0,1,0,1,0
106,PAT_1893_3761_666,1,1,1,1,1,1,1,3,2,1
107,PAT_1906_3798_588,0,0,0,0,0,0,0,0,0,0
108,PAT_1926_3871_371,1,0,1,0,0,0,0,0,1,0
109,PAT_1975_3999_453,0,0,0,0,0,0,0,0,0,0
110,PAT_2013_4148_303,0,0,1,0,0,0,0,0,0,0
111,PAT_2025_4229_541,1,0,1,0,1,0,1,0,1,0
112,PAT_2030_4246_973,2,0,2,0,3,0,2,0,3,0
113,PAT_2105_4587_204,3,1,3,1,3,1,3,1,3,1
114,PAT_2116_4614_671,2,1,2,1,2,1,1,3,2,1
115,PAT_2122_4642_680,2,1,1,1,1,1,1,3,2,1
116,PAT_2144_4738_120,0,0,0,0,0,0,0,0,0,0
